TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
177,8,2,4050,4050,10.00000032,0.56735,1.067869269,0,0,4040.000138,-1500,0,0.00013873
178,8,3,4100,4100,10.00000032,0.57365,1.081268132,0,0,4090.000138,-1500,0,0.00013873
179,8,4,4150,4150,10.00000032,0.57995,1.094650817,0,0,4140.000138,-1500,0,0.00013873
180,8,5,4200,4200,10.00000032,0.5863,1.108111905,0,0,4190.000138,-1500,0,0.00013873
181,8,6,4250,4250,10.00000032,0.5926,1.121463646,0,0,4240.000138,-1500,0,0.00013873
182,8,7,4300,4300,10.00000032,0.59895,1.134894861,0,0,4290.000138,-1500,0,0.00013873
183,8,8,4350,4350,10.00000032,0.6053,1.148311787,0,0,4340.000138,-1500,0,0.00013873
184,8,9,4400,4400,10.00000032,0.61165,1.161714797,0,0,4390.000138,-1500,0,0.00013873
185,8,10,4450,4450,10.00000032,0.618,1.175104252,0,0,4440.000138,-1500,0,0.00013873
186,8,11,4500,4500,10.00000032,0.6244,1.188575352,0,0,4490.000138,-1500,0,0.00013873
187,8,12,4550,4550,10.00000032,0.63075,1.201938848,0,0,4540.000138,-1500,0,0.00013873
188,8,13,4600,4600,10.00000032,0.6371,1.21528981,0,0,4590.000138,-1500,0,0.00013873
189,8,14,4650,4650,10.00000032,0.6435,1.228723711,0,0,4640.000138,-1500,0,0.00013873
190,8,15,4700,4700,10.00000032,0.6499,1.242145903,0,0,4690.000138,-1500,0,0.00013873
191,8,16,4750,4750,10.00000032,0.6563,1.255556679,0,0,4740.000138,-1500,0,0.00013873
192,8,17,4800,4800,10.00000032,0.66265,1.268860895,0,0,4790.000138,-1500,0,0.00013873
193,8,18,4850,4850,10.00000032,0.66905,1.2822496,0,0,4840.000138,-1500,0,0.00013873
194,8,19,4900,4900,10.00000032,0.67545,1.295627725,0,0,4890.000138,-1500,0,0.00013873
195,8,20,4950,4950,10.00000032,0.6819,1.309091216,0,0,4940.000138,-1500,0,0.00013873
196,8,21,5000,5000,10.00000032,0.6883,1.322449034,0,0,4990.000138,-1500,0,0.00013873
197,8,22,5050,5050,10.00000032,0.6947,1.335797029,0,0,5040.000138,-1500,0,0.00013873
198,8,23,5100,5100,10.00000032,0.70115,1.349231362,0,0,5090.000138,-1500,0,0.00013873
199,8,24,5150,5150,10.00000032,0.70755,1.362560496,0,0,5140.000138,-1500,0,0.00013873
200,8,25,5200,5200,10.00000032,0.714,1.375976569,0,0,5190.000138,-1500,0,0.00013873
201,9,1,4000,4000,10.00000032,0.5431,1.05773698,0,0,3990.000138,-1000,0,0.00013873
202,9,2,4050,4050,10.00000032,0.5496,1.071122883,0,0,4040.000138,-1000,0,0.00013873
203,9,3,4100,4100,10.00000032,0.5561,1.084500145,0,0,4090.000138,-1000,0,0.00013873
204,9,4,4150,4150,10.00000032,0.5626,1.097869041,0,0,4140.000138,-1000,0,0.00013873
205,9,5,4200,4200,10.00000032,0.5691,1.111229833,0,0,4190.000138,-1000,0,0.00013873
206,9,6,4250,4250,10.00000032,0.5756,1.124582773,0,0,4240.000138,-1000,0,0.00013873
207,9,7,4300,4300,10.00000032,0.5821,1.137928104,0,0,4290.000138,-1000,0,0.00013873
208,9,8,4350,4350,10.00000032,0.5886,1.151266058,0,0,4340.000138,-1000,0,0.00013873
209,9,9,4400,4400,10.00000032,0.5951,1.164596861,0,0,4390.000138,-1000,0,0.00013873
210,9,10,4450,4450,10.00000032,0.6016,1.177920726,0,0,4440.000138,-1000,0,0.00013873
211,9,11,4500,4500,10.00000032,0.60815,1.191335471,0,0,4490.000138,-1000,0,0.00013873
212,9,12,4550,4550,10.00000032,0.61465,1.204646129,0,0,4540.000138,-1000,0,0.00013873
213,9,13,4600,4600,10.00000032,0.6212,1.218048156,0,0,4590.000138,-1000,0,0.00013873
214,9,14,4650,4650,10.00000032,0.6277,1.231346368,0,0,4640.000138,-1000,0,0.00013873
215,9,15,4700,4700,10.00000032,0.63425,1.244736404,0,0,4690.000138,-1000,0,0.00013873
216,9,16,4750,4750,10.00000032,0.64075,1.258022878,0,0,4740.000138,-1000,0,0.00013873
217,9,17,4800,4800,10.00000032,0.6473,1.2714016,0,0,4790.000138,-1000,0,0.00013873
218,9,18,4850,4850,10.00000032,0.65385,1.284774924,0,0,4840.000138,-1000,0,0.00013873
219,9,19,4900,4900,10.00000032,0.66035,1.298045028,0,0,4890.000138,-1000,0,0.00013873
220,9,20,4950,4950,10.00000032,0.6669,1.311407962,0,0,4940.000138,-1000,0,0.00013873
221,9,21,5000,5000,10.00000032,0.67345,1.324765934,0,0,4990.000138,-1000,0,0.00013873
222,9,22,5050,5050,10.00000032,0.68,1.338119079,0,0,5040.000138,-1000,0,0.00013873
